Ad Set Name,Ad name,Result type,Results,Reach,Impressions,Cost per result,Amount spent (INR),Clicks (all),CTR (all),CPC (All),Reporting starts,Reporting ends,,
001-Circumcision-Chennai-Urology-LG,Ad-08-001-Circumcision-Chennai-Urology-LG,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
001-Cosmetics-Gynecomastia-Broad-Pune-LG,Ad-01-001-Cosmetics-Gynecomastia-Broad-Pune-LG,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
001-Circumcision-Kochi-Urology-LG,Ad-03-001-Circumcision-Kochi-Urology-LG,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
001-Circumcision-Kochi-Urology-LG-May23,Ad-06-001-Circumcision-Kochi-Urology-LG-Feb23,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
001-Lipoma-Coimbatore-Cosmetic-LG,Ad-05-001-Lipoma-Coimbatore-Cosmetic-LG,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
001-Gallstone-Kochi-Lapro-LG,Ad-01-001-Gallstone-Kochi-Lapro-LG,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
001-Piles-Kochi-Procto-LG,Ad-05-001-Piles-Kochi-Procto-LG-Video,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
001-Gallstone-Hyderabad-Lapro-LG,Ad-02-001-Gallstone-Hyderabad-Lapro-LG,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
001-Kidney Stone-Hyderabad-Urology-LG,Ad-01-001-Kidney Stone-Hyderabad-Urology-LG,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
001-Urology-Circumcision-Broad-Bangalore-Conversion-LP,Ad-01-001-Urology-Circumcision-Broad-Bangalore-Conversion-LP – Copy,Old FB LP Lead,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
001-Urology-Circumcision-Broad-Bangalore-LG,Ad-02-001-Urology-Circumcision-Broad-Bangalore-LG,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
Gynecomastia-Vizag-Sep23,Gynecomastia-Vizag-Grade 1 to 4,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
01-Procto-Fissure-Broad-Kochi-LG,Ad-01-01-Procto-Fissure-Broad-Kochi-LG,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
001-Lipoma-Trivandrum-Cosmetics-LG,Ad-05-001-Lipoma-Trivandrum-Cosmetics-LG,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
001-Gynecomastia-Kochi-Cosmetics-LG,Ad-03-001-Gynecomastia-Kochi-Cosmetics-LG,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
001-Cosmetics-Mole-Broad-Chennai-LG,Ad-01-001-Cosmetics-Mole-Broad-Chennai-LG,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
001-Circumcision-Coimbatore-Urology-LG,Ad-05-001-Circumsicion-Coimbatore-Urology-LG-Video,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
001-Circumcision-Chennai-Urology-Broad-LG,Ad-05-001-Circumcision-Chennai-Urology-Broad-LG,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
001-Lipoma-Bangalore-Cosmetics-Broad-LG,Ad-04-001-Cosmetics-Lipoma-Broad-Bangalore-LG – Copy,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
001-Lipoma-Bangalore-Cosmetic-LG,Ad-01-001-Lipoma-Bangalore-Cosmetic-LG,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
02-Procto-Piles-3%-LAL-Hyderabad-LG,Ad-02-001-Procto-Piles-3%-LAL-Hyderabad-LG,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
Lipoma-Vizag-Sep23,Lipoma-Vizag-Video,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
001-Gallstone-Hyderabad-Lapro-LG,Ad-06-001-Gallstone-Hyderabad-Lapro-LG,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
001-Gynecomastia-Hyderabad-Procto-LG,Ad-03-001-Gynecomastia-Hyderabad-Procto-LG,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
001-Circumcision-Pune-Urology-LG,Ad-10-01-Urology-Circumcision-Pune-LG,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
001-Gallstone-Hyderabad-Lapro-LG,Ad-02-001-Gallstone-Hyderabad-Lapro-LG,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
Chennai,Lipoma Chennai,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
Circumcision-Vizag-Sep23,Circumcision-Vizag-Man with black t-shirt,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
001-Circumcision-Chennai-Urology-Broad-LG,Ad-06-001-Circumcision-Chennai-Urology-Broad-LG,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
Chennai,Live Free,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
001-Kidney Stone-Chennai-Urology-LG,Ad-05-001-Kidney Stone-Chennai-Urology-LG,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
01-Procto-Piles-Broad-Coimbatore-LG,Ad-05-01-Procto-Piles-Broad-Coimbatore-LG,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
001-Piles-Kochi-Procto-LG,Ad-06-001-Piles-Kochi-Procto-LG,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
001-Lipoma-Trivandrum-Cosmetics-Broad-LG-Feb23,Ad-04-001-Lipoma-Trivandrum-Cosmetics-Broad-LG,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
001-Gynecomastia-Trivandrum-Cosmetics-Broad-LG-Feb23,Ad-04-001-Cosmetics-Gynecomastia-Broad-Trivandrum-LG,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
001-Gynecomastia-Pune-Cosmetics-Broad-LG-May23,Ad-04-001-Gynecomastia-Pune-Cosmetics-Broad-LG,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
001-Cosmetics-Mole-Broad-Kochi-LG,Ad-01-001-Cosmetics-Mole-Broad-Kochi-LG,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
001-Piles-Bangalore-Procto-LG-March23,Ad-03-01-Piles-Bangalore-Procto-LG,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
001-Cosmetics-Mole-Broad-Bangalore-LG,Ad-02-001-Cosmetics-Mole-Broad-Bangalore-LG,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
001-Piles-Trivandrum-Procto--LG,Ad-08-001-Piles-Trivandrum-Procto-LG,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
001-Lipoma-Hyderabad-Cosmetics-LG,Ad-11-001-Cosmetics-Lipoma-Hyderabad-LG,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
001-Lipoma-Vizag-Cosmetic-LG,Ad-01-001-Lipoma-Vizag-Cosmetic-LG,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
001-Gynecomastia-Kochi-Cosmetics-LG,Ad-06-001-Gynecomastia-Kochi-Cosmetics-LG,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
001-Cosmetics-Gynecomastia-Broad-Chennai-LG,Ad-01-001-Cosmetics-Gynecomastia-Broad-Chennai-LG,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
001-Piles-Vizag-Procto-Broad-LG-March23,Ad-05-001-Procto-Piles-Broad-Vizag-LG,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
001-Circumcision-Chennai-Urology-LG,Ad-07-001-Circumcision-Chennai-Urology-LG,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
001-Gynecomastia-Vizag-Cosmetics-LG,Ad-01-001-Gynecomastia-Vizag-Cosmetics-LG,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
001-Urology-Circumcision-Broad-Madurai-LG,Ad-02-001-Urology-Circumcision-Broad-Madurai-LG,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
Circumcision-Chennai-Sep23,Circumcision-Chennai-2 Bananas,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
001-Cosmetics-Lipoma-Broad-Bangalore-LG,Ad-03-001-Cosmetics-Lipoma-Broad-Bangalore-LG,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
001-Circumcision-Bangalore-Urology-LG,Ad-15-001-Circumcision-Bangalore-Urology-LG,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
001-Gynecomastia-Vizag-Cosmetics-LG,Ad-03-001-Gynecomastia-Vizag-Cosmetics-LG,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
001-Gallstone-Bangalore-Lapro-LG,Ad-04-001-Gallstone-Bangalore-Lapro-LG,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
001-Urology-Circumcision-Broad-Vizag-LG,Ad-03-001-Urology-Circumcision-Broad-Vizag-LG,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
001-Circumcision-Trivandrum-Urology-LG,Ad-03-001-Circumsicion-Trivandrum-Urology-LG,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
001-Cosmetics-Gynecomastia-Broad-Trivandrum-LG,Ad-01-001-Cosmetics-Gynecomastia-Broad-Trivandrum-LG,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
001-Circumsicion-Coimbatore-Urology-LG,Ad-03-001-Circumsicion-Coimbatore-Urology-LG,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
001-Gynecomastia-Trivandrum-Cosmetics-Broad-LG-Feb23,Ad-05-001-Cosmetics-Gynecomastia-Broad-Trivandrum-LG,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
01-Circumcision-Coimbatore-Urology-Broad-LG,Ad-04-01-Urology-Circumcision-Broad-Coimbatore-LG,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
001-Lipoma-Vizag-Cosmetics-LG,Ad-07-001-Lipoma-Vizag-Cosmetics-LG,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
001-Liposuction-Kochi-Cosmetics-LG,Ad-02-001-Liposuction-Kochi-Cosmetics-LG,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
001-Lipoma-Kochi-Cosmetics-Broad-LG-March23,Ad-02-001-Cosmetics-Lipoma-Broad-Kochi-LG,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
001-Gynecomastia-Kochi-Procto-LG,Ad-07-001-Gynecomastia-Kochi-Procto-LG-Video,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
001-Gynecomastia-Vizag-Procto-LG,Ad-01-001-Gynecomastia-Vizag-Procto-LG,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
001-Piles-Coimbatore-Procto-Broad-Feb23,Ad-03-001-Piles-Coimbatore-Procto-Broad-Feb23 – Copy,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
001-Lipoma-Chennai-Cosmetics-LG,Ad-12-001-Lipoma-Chennai-Cosmetics-LG,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
001-Piles-Hyderabad-Procto-LG,Ad-01-001-Piles-Hyderabad-Procto-LG,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
001-LASIK-Vizag-Ophtal-LG-July23,Ad-02-001-LASIK-Vizag-Ophtal-LG,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
001-Kidney Stone-Hyderabad-Urology-LG,Ad-02-001-Kidney Stone-Hyderabad-Urology-LG,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
Liposuction-Kochi-Sep23,Liposuction-Kochi-A woman shaped body with fatty outline,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
001-Circumcision-Hyderabad-Urology-Broad-LG,Ad-06-001-Circumcision-Hyderabad-Urology-Broad-LG,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
001-LASIK-Vizag-Ophtal-LG-July23,Ad-01-001-LASIK-Vizag-Ophtal-LG,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
01-Circumcision-Coimbatore-Urology-Broad-LG,Ad-05-01-Urology-Circumcision-Broad-Coimbatore-LG,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
01-Piles-Pune-Procto-Broad-LG-March23,Ad-06-01-Procto-Piles-Broad-Pune-LG,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
001-Circumcision-Chennai-Urology-Broad-LG,Ad-01-001-Circumcision-Chennai-Urology-Broad-LG,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
001-Piles-Pune-Procto-LG,Ad-07-001-Piles-Pune-Procto-LG,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
001-Cosmetics-Lipoma-Broad-Kochi-LG,Ad-02-001-Cosmetics-Lipoma-Broad-Kochi-LG,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
001-Lipoma-Hyderabad-Cosmetics-LG,Ad-08-001-Cosmetics-Lipoma-Hyderabad-LG,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
001-Piles-Trivandrum-Procto--LG,Ad-07-001-Piles-Trivandrum-Procto-LG,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
001-Cosmetics-Gynecomastia-Broad-Pune-LG,Ad-03-001-Cosmetics-Gynecomastia-Broad-Pune-LG,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
001-Piles-Chennai-Procto-LG-April23,Ad-08-001-Piles-Chennai-Procto-LG,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
001-Piles-Bangalore-Procto-LG-Feb23,Ad-02-01-Piles-Bangalore-Procto-LG-Eng,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
001-Lipoma-Hyderabad-Cosmetics-Broad-LG,Ad-01-001-Cosmetics-Lipoma-Broad-Hyderabad-LG,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
002-Cosmetics-Gynecomastia-Broad-Bangalore-LG,Ad-02-002-Cosmetics-Gynecomastia-Broad-Bangalore-LG,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
001-Lipoma-Vizag-Cosmetics-Broad-LG,Ad-01-001-Lipoma-Vizag-Cosmetics-Broad-LG,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
001-Circumcision-Kochi-Urology-LG,Ad-08-001-Circumcision-Kochi-Urology-LG,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
001-Piles-Trivandrum-Procto-LG,Ad-04-001-Piles-Trivandrum-Procto-LG,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
001-Gynecomastia-Trivandrum-Cosmetics-Broad-LG-Feb23,Ad-02-001-Cosmetics-Gynecomastia-Broad-Trivandrum-LG,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
001-Varicose Vein-Bangalore-Vascular-LG,Ad-01-001-Varicose Vein-Bangalore-Vascular-LG,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
001-Lipoma-Trivandrum-Cosmetic-LG,Ad-05-001-Lipoma-Trivandrum-Cosmetic-LG,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
001-Gallstone-Hyderabad-Lapro-LG,Ad-02-001-Gallstone-Hyderabad-Lapro-LG,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
001-Circumcision-Vizag-Urology-Broad-LG-Feb23,Ad-04-001-Urology-Circumcision-Broad-Vizag-LG,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
01-Circumcision-Coimbatore-Urology-Broad-LG,Ad-10-01-Urology-Circumcision-Broad-Coimbatore-LG – Copy,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
001-Circumcision-Chennai-Urology-Broad-LG,Ad-03-001-Circumcision-Chennai-Urology-Broad-LG,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
001-Gynecomastia-Kochi-Cosmetics-LG,Ad-04-001-Gynecomastia-Kochi-Cosmetics-LG,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
001-Circumcision-Chennai-Urology-Broad-LG,Ad-02-001-Circumcision-Chennai-Urology-Broad-LG,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
01-Procto-Piles-Broad-Madurai-LG,Ad-01-01-Procto-Piles-Broad-Madurai-LG,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
001-Urology-Circumcision-Trivandrum-LG,Ad-05-001-Urology-Circumcision-Trivandrum-LG,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
01-Piles-Kochi-Procto-Broad-LG-May23,Ad-02-01-Piles-Kochi-Procto-Broad-LG,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
001-Lipoma-Bangalore-Cosmetics-Broad-LG,Ad-07-001-Cosmetics-Lipoma-Broad-Bangalore-LG,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
001-Cosmetics-Lipoma-Broad-Kochi-LG,Ad-03-001-Cosmetics-Lipoma-Broad-Kochi-LG,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
001-Piles-Kochi-Proctology-LG,Ad-01-001-Piles-Kochi-Proctology-LG,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
001-Lipoma-Vizag-Cosmetics-Broad-LG,Ad-02-001-Lipoma-Vizag-Cosmetics-Broad-LG,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
Gynecomastia-Kochi-Sep23,Gynecomastia-Kochi-Side view of a man boobs without shirt,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
Gyne Bnglr,Gyne Bnglr,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
001-Piles-Kochi-Procto-LG,Ad-07-001-Piles-Kochi-Procto-LG,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
001-Urology-Circumcision-Trivandrum-LG,Ad-10-001-Urology-Circumcision-Trivandrum-LG,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
001-Urology-Circumcision-Broad-Trivandrum-LG,Ad-09-001-Urology-Circumcision-Broad-Trivandrum-LG,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
001-Gynecomastia-Bangalore-Cosmetics-Broad-LG,Ad-01-001-Cosmetics-Gynecomastia-Bangalore-LG,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
001-Circumcision-Hyderabad-Urology-Broad-LG,Ad-04-001-Circumcision-Hyderabad-Urology-Broad-LG,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
001-Circumcision-Kochi-Urology-LG,Ad-05-001-Circumcision-Kochi-Urology-LG,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
001-Lipoma-Chennai-Cosmetic-LG,Ad-02-001-Lipoma-Chennai-Cosmetic-LG,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
001-Gallstone-Vizag-Lapro-LG,Ad-04-001-Gallstone-Vizag-Lapro-LG,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
001-Circumcision-Pune-Urology-Broad-LG-May23,Ad-10-01-Urology-Circumcision-Broad-Pune-LG,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
001-Gynecomastia-Hyderabad-Cosmetics-LG,Ad-02-001-Gynecomastia-Hyderabad-Cosmetics-LG,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
001-Kidney Stone-Chennai-Urology-LG,Ad-09-001-Kidney Stone-Chennai-Urology-LG,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
001-Circumcision-Bangalore-Urology-LG,Ad-06-001-Circumcision-Bangalore-Urology-LG,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
01-Piles-Kochi-Procto-Broad-LG-March23,Ad-03-01-Piles-Kochi-Procto-Broad-LG – Copy,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
001-Piles-Hyderabad-Procto-LG-May23,Ad-02-01-Piles-Hyderabad-Procto-LG-Eng,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
01-Procto-Fistula-Broad-Bangalore-LG,Ad-01-01-Procto-Fistula-Broad-Bangalore-LG,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
001-Kidney Stone-Hyderabad-Urology-LG-March23,Ad-03-001-Kidney Stone-Hyderabad-Urology-LG,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
001-Lipoma-Trivandrum-Cosmetics-Broad-LG-Feb23,Ad-06-001-Lipoma-Trivandrum-Cosmetics-Broad-LG,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
01-Urology-Circumcision-Broad-Hyderabad-LG,Ad-01-01-Urology-Circumcision-Broad-Hyderabad-LG,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
001-Gynecomastia-Bangalore-Procto-LG,Ad-02-001-Gynecomastia-Bangalore-Procto-LG,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
001-Procto-Piles-Bangalore-Conversion-LP,Ad-03-001-Procto-Piles-Bangalore-Conversion-LP,Old FB LP Lead,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
001-Cosmetics-Gynecomastia-Broad-Coimbatore-LG,Ad-03-001-Cosmetics-Gynecomastia-Broad-Coimbatore-LG,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
001-Cosmetics-Gynecomastia-Broad-Madurai-LG,Ad-02-001-Cosmetics-Gynecomastia-Broad-Madurai-LG,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
001-Cosmetics-Mole-Broad-Kochi-LG,Ad-02-001-Cosmetics-Mole-Broad-Kochi-LG,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
001-Cosmetics-Mole-Broad-Coimbatore-LG,Ad-01-001-Cosmetics-Mole-Broad-Coimbatore-LG,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
001-Lipoma-Chennai-Cosmetics-Broad-LG-May23,Ad-05-001-Lipoma-Chennai-Cosmetics-Broad-LG,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
001-Lipoma-Coimbatore-Cosmetics-Broad-LG-May23,Ad-03-001-Lipoma-Coimbatore-Cosmetics-Broad-LG,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
01-Urology-Circumcision-Broad-Thiruvananthapuram-LG,Ad-02-01-Urology-Circumcision-Broad-Thiruvananthapuram-LG,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
001-Circumcision-Hyderabad-Urology-LG,Ad-02-001-Circumsicion-Hyderabad-Urology-LG,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
001-Kidney Stone-Hyderabad-Urology-LG,Ad-05-001-Kidney Stone-Hyderabad-Urology-LG,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
Circumcision-Chennai-Sep23,Circumcision-Chennai-2 Bananas,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
001-Lipoma-Hyderabad-Cosmetics-Broad-LG,Ad-07-001-Cosmetics-Lipoma-Broad-Hyderabad-LG,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
002-Cosmetics-Lipoma-Broad-Coimbatore-LG,Ad-01-001-Cosmetics-Lipoma-Broad-Coimbatore-LG,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
001-Procto-Piles-Broad-Bangalore-LG,Ad-02-001-Procto-Piles-Broad-Bangalore-LG,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
001-Lipoma-Chennai-Cosmetic-LG,Ad-01-001-Lipoma-Chennai-Cosmetic-LG,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
001-Cosmetics-Gynecomastia-Broad-Kochi-LG,Ad-01-001-Cosmetics-Gynecomastia-Broad-Kochi-LG,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
001-Circumcision-Pune-Urology-Broad-LG-Feb23,Ad-03-01-Urology-Circumcision-Broad-Pune-LG-Hindi,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
001-Circumcision-Kochi-Urology-LG-March23,Ad-09-001-Circumcision-Kochi-Urology-LG,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
001-Gynecomastia-Pune-Cosmetics-LG,Ad-02-001-Gynecomastia-Pune-Cosmetics-LG,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
001-Gynecomastia-Trivandrum-Cosmetics-LG,Ad-02-001-Gynecomastia-Trivandrum-Cosmetics-LG,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
001-Circumcision-Chennai-Urology-Broad-LG,Ad-02-001-Circumcision-Chennai-Urology-Broad-LG,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
Piles-Vizag-Sep23,Piles-Vizag-Video,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
001-Gynecomastia-Bangalore-Cosmetics-Broad-LG,Ad-02-001-Cosmetics-Gynecomastia-Bangalore-LG,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
001-Piles-Trivandrum-Procto-Broad-LG-March23,Ad-04-001-Piles-Trivandrum-Procto-Broad-LG – Copy,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
02-Procto-Piles-3%-LAL-Vizag-LG,Ad-04-001-Procto-Piles-3%-LAL-Vizag-LG – Copy,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
001-Circumcision-Vizag-Urology-Broad-LG-March23,Ad-05-001-Urology-Circumcision-Broad-Vizag-LG,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
01-Urology-Circumcision-Broad-Chennai-LG,Ad-02-01-Urology-Circumcision-Broad-Chennai-LG,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
001-Gallstone-Hyderabad-Lapro-LG,Ad-04-001-Gallstone-Hyderabad-Lapro-LG,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
001-Cosmetics-Lipoma-Broad-Hyderabad-LG,Ad-01-001-Cosmetics-Lipoma-Broad-Banaglore-LG,Meta Leads,,0,0,,0.00,0,,,2023-09-01,2023-09-30,,
